Room	Description	Connections
28	"<p>...a spacious room with a hole in the floor. A ladder led down into the shadows. Outside, leaves shook in the wind. They didn't like the look of that hole in the floor.</p><p>""Too dark down there!"" they cried. ""Who knows what's at the bottom."" They looked at me again.</p><p>""Probably a room of some kind,"" I volunteered quickly. ""But you what I say about appearances."" It would have been a relief to get outside for a while.</p><p>They wanted to know if they had been here before.... How could I answer that?</p><p>""I have the strangest feeling of déjà vu,"" said one who, bolder than the rest, led us into...</p>"	23;43;32;45
29	"<p>...a much smaller room.</p><p>A person with a white staff turned to face us. His associate shrugged, not an easy thing to do in his position, and went back to what he had been doing.</p><p>""Look, look,"" said the person with the staff. ""This is very important...""</p><p>I snatched the paper from his hand and tore it into pieces.</p><p>""How will he find his way without directions?"" the group wanted to know.</p><p>""Don't worry,"" said the man, ""here blindness is no disadvantage.""</p><p>I hurried my visitors out as quickly as I could to...</p>"	8;40;35;2;17
30	"<p>...room number 30. ""What a beautiful door...the others are so plain,"" said one.</p><p>""It's meant to influence our decision,"" said another.</p><p>""Perhaps this has been done so we will not choose this door,"" said the thoughtful one.</p><p>They wanted to know what the letters meant. Obviously they meant something, and I said so.</p><p>""Yes, but...why 'O' and 'U'? What special significance can they have for us?""</p><p>The more confused they became, the more I enjoyed it. No matter how many times I've been through this I'm always fascinated.</p><p>Leaving the room and all that it contained behind us, we entered...</p>"	42;34;5;15
31	"<p>...a melancholy little courtyard surrounded by a brick wall too high to see over. A dead tree lifted its bone-white branches to a sky filling with gray clouds.</p><p>""Those doors look very strange,"" they said.</p><p>""You should say, 'They look very strangely,'"" I corrected.</p><p>""They seem to be watching us...""</p><p>A sudden gust of wind made the branches clatter against each other like old boards. Dead leaves began to gather at our feet.</p><p>Shivering in the wind we managed to push open one of the heavy doors and make our way to...</p>"	44;19;21
32	"<p>...a large square room with a hole rudely broken through one wall. It must have taken a great deal of strength to pull the heavy stones out of position.</p><p>The symmetry was also disturbed by the apparent loss of one of the room's statues. My visitors thought a thief had broken into the room, removed the figure, and made away with it. This, of course, was one explanation.</p><p>""Another one!"" they cried.</p><p>""You mean another representative of the animal kingdom?"" I asked.</p><p>""What is a bird like that doing here?""</p><p>""Roosting, evidently."" Their attitude was really beginning to irritate me. I have come to think of all the inhabitants of this House as members of my little kingdom. People can be so arrogant...in a very real way we are all animals, at least in part.</p><p>I wouldn't answer any more of their questions so we left this room to enter...</p>"	11;6;16;28
33	<p>...the room with no floor. They crowded each other on the narrow ledge. The bold one ventured out to the center.</p><p>Realizing that they could see all of the signs only from the center of the room, several wanted to turn back.</p><p>With exaggerated caution, considering their predicament, they finally reached the door they wanted and eventually found themselves in...</p>	3;35;7
34	"<p>...a middle-class drawing room or parlor. It was amazing how much more comfortable they felt in these surroundings.</p><p>Everyone sat down, some on the floor, and chatted about where they had been and where they should go.</p><p>""Magpies!"" I said to myself. ""Not a real thought in their heads.""</p><p>They were so much at ease they almost missed what the room was telling them altogether. They finally got the message, which I thought was pretty obvious, and we went on to...</p>"	10;25
35	"<p>...what appeared to be someone's basement. One of them sank gratefully down on an old couch which promptly collapsed.</p><p>I tried to hide my smile.</p><p>""A totem, or tribal fetish,"" said one, walking around the center of the room.</p><p>""It could be a work of art,"" suggested another.</p><p>""Perhaps it's a signal to us,"" the thoughtful one said. ""A warning or direction?""</p><p>""Not much help when there is only one way to go,"" put in another.</p><p>""I still think it's a signal.""</p><p>""Yes,"" I said right away, ""I'm sure you're right.""</p><p>She was immediately suspicious. Still, with no real choice to make, we left the thing standing alone in light and silence, and went into...</p>"	33
36	"<p>...an old and ruinous part of the House. Turning a corner the music we had been hearing became louder and at last we saw the musicians themselves.</p><p>They were so involved they failed to hear us. The music was suited to the scene - a moody, romantic melody. We stopped to listen and I admit that I, too, was affected by the sound as well as by the spectacle of the masked players.</p><p>One of the visitors noticed me listening. ""Beautiful music, don't you think?""</p><p>""It's not bad,"" I said stiffly. ""The viol brings the right sense of warmth to the piece, but the guitarist is overplaying his part. Still, he adds a certain plangent brio to an otherwise introspective composition...""</p><p>Unwilling to interrupt the concert we slipped past the musicians into the door to.... </p>"	7;16
37	"<p>...a long, open room with no roof.</p><p>""What is going on here?"" they wondered.</p><p>""Sometimes, important messages are couched in ambiguous terms,"" I said. ""That net may help you catch the answer to your question.""</p><p>They looked doubtful. ""We must look at this from all sides before we make a decision."" At last, they were learning.</p><p>They really couldn't decide which way to go; half of them wanted to go one way, half another. They were close to splitting up when there was a rattling sound and one of the doors was shaken from the other side.</p><p>They all stopped talking and moved closer together. They soon agreed on a direction and we departed for...</p>"	15;10;42;20
38	<p>...a narrow space where one wall boasted half-finished carving and another some sort of carnival poster. There was a little confusion as we made our entrance but we soon sorted ourselves out.</p><p>It was impossible to climb up the slippery slide and another door wouldn't open for us, so after emptying the pebbles from our shoes, we marched on to...</p>	40;22;43
39	"<p>...what looked like a combination wine cellar and junk room. Someone had been working here as well.</p><p>""This is more to my taste,"" said one, dusting off some labels. All the bottles turned out to be empty.</p><p>""I hear someone hammering,"" said one.</p><p>""No, that's a chopping sound,"" said another.</p><p>None of them heard the faint jingling that came from behind the wall. ""I don't hear anything,"" I said loudly and, with as much commotion as possible, hurried them out of the room to...</p>"	11;4;12
40	"<p>...the foundation of the Maze. Deep underground stones had been carved and fitted; passages opened in the natural rock.</p><p>""These symbols are quite unusual,"" said one. ""They seem to be primitive signs...""</p><p>""Do you know what signs?"" I asked him.</p><p>""Oh, you know... wind and water, hills and planets.""</p><p>It was surprising that he could identify any of the symbols, but I was relieved that he couldn't read them correctly.</p><p>Choosing more or less at random they went through a passageway to...</p>"	11;6;38
41	"<p>...a room with a special piece of furniture I thought might appeal to my guests.</p><p>""How can we trust that thing?"" one remarked. ""Who knows where it ends up...""</p><p>I knew naturally, but that wasn't the point. They were pretty sure of themselves, and went right on to...</p>"	1;35;10;38
42	"<p>...the next room.</p><p>In one corner a savage animal appeared ready to leap out, roaring, rending with tusk and claw...but it was only a bit of taxidermy after all.</p><p>I suggested they might wish to hang up their coats before going on.</p><p>""How will we find them?"" one asked. ""We might not pass through here again.""</p><p>I assured them I would help them to return. ""You can count on me,"" I said sincerely. Still, they wouldn't leave anything behind.</p><p>Opening one of the doors we made our way to...</p>"	22;30;4;25;37
43	"<p>...a great hall dominated by the entrance to room 22. The face over the door had a sly look.</p><p>""Is it good or bad to have only two choices?"" they wanted to know.</p><p>It was, predictably enough, neither ""good"" not ""bad."" These people just didn't know how to phrase a meaningful question. You have to be very particular in this House.</p><p>We went on to...</p>"	22;38
44	"<p>...a courtyard of palms and statues. The trees waved to each other in the breeze.</p><p>""Who left the door open?"" they wanted to know.</p><p>""We came in that way,"" I offered, but they were convinced we had entered by another door entirely.</p><p>They vanished through the wall and I followed them to...</p>"	21;18
45	"<p>...the room at the center of the Maze.</p><p>My guests thought that whoever lived here was a careless person, to leave so many things around. They were wrong.</p><p>There was really only one thing for them to find: the Riddle of the Maze. They demanded that I show it to them.</p><p>""Do you think it is written on the wall for all to see? It is hidden here, somewhere, perhaps throughout the room. As far as you are concerned, what the Maze teaches can be learned in every room.""</p><p>They looked and looked...every group is the same.</p><p>""Now,"" I said, after a last look around, ""we must find our way back out.""</p><p>Leaving the center of the Maze we found ourselves in...</p>"	28;17;36;19;23
